symbol;RowNumber;open;high;low;close;volume
AAPL;1;0.7812731310140636565;0.7678306092124814264;0.7904761904761904761;0.7748655410567948583;0.08932895630889
AAPL;2;0.8005181347150259067;0.7893759286775631500;0.8022014652014652014;0.7775397384230475362;0.05570077416573
AAPL;3;0.7768319763138415988;0.7949479940564635958;0.7978021978021978021;0.7973902230745029888;0.05557552140894
AAPL;4;0.7986676535899333826;0.7845468053491827637;0.7978021978021978021;0.7734198265142548952;0.08227864508717
AAPL;5;0.8090303478904515173;0.8000631500742942050;0.8179487179487179487;0.7951429983969797300;0.07064596585156
AAPL;6;0.8123612139156180606;0.8098068350668647845;0.8285714285714285714;0.8052555094458343945;0.09165541029146
AAPL;7;0.8253145817912657290;0.8142644873699851411;0.8294358974358974358;0.8101244962471347885;0.10937676520429
AAPL;8;0.8205033308660251665;0.8213224368499257057;0.8315018315018315018;0.8209860821884972059;0.17027689318586
AAPL;9;0.7922279792746113989;0.8071842496285289747;0.8051282051282051282;0.8162818918635485175;0.12960576763021
AAPL;10;0.7749814951887490747;0.7819465081723625557;0.7904761904761904761;0.7891503992569177066;0.10075479112260
AAPL;11;0.7505551443375277572;0.7604011887072808320;0.7725274725274725274;0.7711726018367316364;0.09032306479033
AAPL;12;0.7701702442635085122;0.7559435364041604754;0.7578754578754578754;0.7462883339076240842;0.10581402012230
AAPL;13;0.7768319763138415988;0.7748885586924219910;0.7710622710622710622;0.7663036150354312424;0.14959367896545
AAPL;14;0.7879348630643967431;0.8016344725111441307;0.7875457875457875457;0.7734198265142548952;0.37214586079206
AAPL;15;0.6791265729089563286;0.6697622585438335809;0.6926739926739926739;0.6782873151657702737;0.15413143080126
AAPL;16;0.6694966691339748334;0.6630757800891530460;0.6857142857142857142;0.6726692534719621267;0.08875167481218
AAPL;17;0.6673760177646188008;0.6681835066864784546;0.6897435897435897435;0.6644294296543768445;0.09168174338739
AAPL;18;0.6637638786084381939;0.6571322436849925705;0.6780219780219780219;0.6636803547618690916;0.09332121738038
AAPL;19;0.6465581051073279052;0.6511887072808320950;0.6677655677655677655;0.6585529371226535228;0.06248420696448
AAPL;20;0.6509992598075499629;0.6437592867756315007;0.6652014652014652014;0.6419571828791442568;0.04847554569542
AAPL;21;0.6398926720947446336;0.6370728083209509658;0.6600732600732600732;0.6453280198954291450;0.04963938667081
AAPL;22;0.6316358253145817912;0.6264970282317979197;0.6454212454212454212;0.6342417114863144017;0.05528844973107
AAPL;23;0.6310140636565507031;0.6233283803863298662;0.6513956043956043956;0.6269719396545266595;0.04963024512974
AAPL;24;0.6032568467801628423;0.6214710252600297176;0.6263736263736263736;0.6263689343660579184;0.08465653729339
AAPL;25;0.6262065136935603256;0.6121842496285289747;0.6276556776556776556;0.5986981078368215254;0.09535405052134
AAPL;26;0.6347150259067357512;0.6322436849925705794;0.6454212454212454212;0.6217321607814349278;0.07208609967281
AAPL;27;0.6361954108068097705;0.6318722139673105497;0.6560439560439560439;0.6310955969377818394;0.04641665234037
AAPL;28;0.6357068837897853441;0.6300148588410104011;0.6498168498168498168;0.6307210594915279629;0.07666328293206
AAPL;29;0.6603256846780162842;0.6549034175334323922;0.6556776556776556776;0.6310955969377818394;0.07875628651499
AAPL;30;0.6469282013323464100;0.6508172362555720653;0.6636410256410256410;0.6548038172856522195;0.06440324838522
AAPL;31;0.6506291635825314581;0.6447028231797919762;0.6553113553113553113;0.6412081079866365039;0.05502989420371
AAPL;32;0.6432272390821613619;0.6398588410104011887;0.6652014652014652014;0.6450658436830514314;0.04684248442526
AAPL;33;0.6354552183567727609;0.6333580980683506686;0.6556776556776556776;0.6389608833091132451;0.03093906821772
AAPL;34;0.6354552183567727609;0.6270430906389301634;0.6531135531135531135;0.6307210594915279629;0.03623202049888
AAPL;35;0.6436972612879348630;0.6400445765230312035;0.6509157509157509157;0.6292229097065124571;0.04594211085005
AAPL;36;0.6387860843819393042;0.6352154531946508172;0.6483516483516483516;0.6385900912373219074;0.07018152098870
AAPL;37;0.6558105107327905255;0.6422734026745913818;0.6571428571428571428;0.6340918965078128511;0.06636076614300
AAPL;38;0.6630273871206513693;0.6556463595839524517;0.6739926739926739926;0.6518824252048719831;0.06358392071145
AAPL;39;0.6598815692079940784;0.6537890044576523031;0.6721611721611721611;0.6591859054068225741;0.06700040113627
AAPL;40;0.6806069578090303478;0.6701337295690936106;0.6813186813186813186;0.6543169186055221801;0.04903017800081
AAPL;41;0.6935603256846780162;0.6809063893016344725;0.6926739926739926739;0.6764146279345008913;0.04804589326500
AAPL;42;0.6861584011843079200;0.6835066864784546805;0.7051282051282051282;0.6887743636608788146;0.05446352797993
AAPL;43;0.6754256106587712805;0.6756537890044576523;0.6941391941391941391;0.6824109724490254535;0.05112550107924
AAPL;44;0.6765358993338267949;0.6675334323922734026;0.6783919413919413919;0.6694145230640159403;0.06697488668582
AAPL;45;0.6831976313841598815;0.6748588410104011887;0.6941391941391941391;0.6729913556757404605;0.05175026401316
AAPL;46;0.7020725388601036269;0.6887072808320950965;0.6849816849816849816;0.6775382402732625207;0.07747824449665
AAPL;47;0.7187231680236861584;0.7095096582466567607;0.7183150183150183150;0.6977632623709718497;0.04651475335576
AAPL;48;0.7009622501850481125;0.7106500742942050520;0.7208791208791208791;0.7142429100061424141;0.05015758925282
AAPL;49;0.6924500370096225018;0.6976225854383358098;0.7076923076923076923;0.6977632623709718497;0.05723791747507
AAPL;50;0.7216876387860843819;0.7091381872213967310;0.7150366300366300366;0.6887743636608788146;0.03550902010866
AAPL;51;0.7239045151739452257;0.7113670133729569093;0.7344322344322344322;0.7164901346836656728;0.02975830856930
AAPL;52;0.7203626943005181347;0.7087667161961367013;0.7377289377289377289;0.7191081514329802693;0.02511836249075
AAPL;53;0.7172464840858623242;0.7095096582466567607;0.7289413919413919413;0.7157410597911579199;0.05263262738805
AAPL;54;0.7235381199111769059;0.7117384843982169390;0.7336996336996336996;0.7134938351136346611;0.03624239000815
AAPL;55;0.7309400444115470022;0.7173105497771173848;0.7399267399267399267;0.7206212827158459302;0.03952461257603
AAPL;56;0.7501850481125092524;0.7388558692421991084;0.7523809523809523809;0.7284715875893271809;0.02611110656308
AAPL;57;0.7608438193930421909;0.7496285289747399702;0.7706959706959706959;0.7457040554914680369;0.02457901156746
AAPL;58;0.7568837897853441894;0.7496285289747399702;0.7739926739926739926;0.7561911039865765779;0.03111889733912
AAPL;59;0.7372316802368615840;0.7459138187221396731;0.7556776556776556776;0.7528015400979789959;0.03184394434302
AAPL;60;0.7446336047372316802;0.7355126300148588410;0.7532271062271062271;0.7348424695501056195;0.02653352762519
AAPL;61;0.7383900814211695040;0.7336552748885586924;0.7589743589743589743;0.7408350686901676429;0.02067079809746
AAPL;62;0.7335307179866765358;0.7262258543833580980;0.7523809523809523809;0.7352170069963594960;0.02533052810819
AAPL;63;0.7431532198371576609;0.7366270430906389301;0.7565238095238095238;0.7304641268033978037;0.02176751014438
AAPL;64;0.7331606217616580310;0.7314264487369985141;0.7545787545787545787;0.7398200722108196377;0.02317830916964
AAPL;65;0.7427831236121391561;0.7325408618127786032;0.7531135531135531135;0.7310970950875668549;0.03311366346576
AAPL;66;0.7498149518874907475;0.7369985141158989598;0.7608058608058608058;0.7378387691201366312;0.03687383854674
AAPL;67;0.7379644707623982235;0.7366270430906389301;0.7512820512820512820;0.7462658616608488516;0.04159414832218
AAPL;68;0.7422279792746113989;0.7306835066864784546;0.7549450549450549450;0.7329735276932987760;0.03008085488417
AAPL;69;0.7335307179866765358;0.7329123328380386329;0.7523809523809523809;0.7378387691201366312;0.03926155449859
AAPL;70;0.7235381199111769059;0.7202823179791976225;0.7380952380952380952;0.7291270281202714647;0.04378375207049
AAPL;71;0.7098445595854922279;0.7109955423476968796;0.7293040293040293040;0.7198609716999505610;0.03402577095937
AAPL;72;0.7113249444855662472;0.6983655274888558692;0.7201465201465201465;0.7060030861885571319;0.04980802763747
AAPL;73;0.7116950407105847520;0.7031946508172362555;0.7286849816849816849;0.7067109619619769584;0.03596691580777
AAPL;74;0.7309400444115470022;0.7173105497771173848;0.7300366300366300366;0.7071266985273187613;0.05267710712521
AAPL;75;0.7383419689119170984;0.7295765230312035661;0.7498168498168498168;0.7269771831787742138;0.05140643291609
AAPL;76;0.7298297557364914877;0.7325371471025260029;0.7520146520146520146;0.7344679321038517430;0.08381510619196
AAPL;77;0.7140303478904515173;0.7154531946508172362;0.7267399267399267399;0.7258535708400125844;0.05805492565334
AAPL;78;0.6920799407846039970;0.7046805349182763744;0.7117216117216117216;0.7101229980973497730;0.04852616527360
AAPL;79;0.6958956328645447816;0.6821210995542347696;0.7043956043956043956;0.6887743636608788146;0.04090812341899
AAPL;80;0.6806069578090303478;0.6916753343239227340;0.6981684981684981684;0.6902725134458943205;0.07802196152912
AAPL;81;0.6628423390081421169;0.6675334323922734026;0.6831501831501831501;0.6763472111941751936;0.05526880223981
AAPL;82;0.6724648408586232420;0.6629346210995542347;0.6769230769230769230;0.6595604428530764505;0.05566830122878
AAPL;83;0.6421169504071058475;0.6675297176820208023;0.6637362637362637362;0.6689238790094233621;0.08442690723928
AAPL;84;0.6491487786824574389;0.6474739970282317979;0.6578754578754578754;0.6363391211853361099;0.08150434291421
AAPL;85;0.6395262768319763138;0.6504457652303120356;0.6608058608058608058;0.6448111582195987954;0.09739752605339
AAPL;86;0.6460029607698001480;0.6530460624071322436;0.6604395604395604395;0.6337173590615589746;0.13618563058896
AAPL;87;0.6539600296076980014;0.6431649331352154531;0.6501831501831501831;0.6404590330941287509;0.20423335216217
AAPL;88;0.6606217616580310880;0.6749628528974739970;0.6714285714285714285;0.6486988569117140331;0.15635241595922
AAPL;89;0.6887490747594374537;0.6842496285289747399;0.6822271062271062271;0.6546914560517760565;0.14651257030117
AAPL;90;0.7516654330125832716;0.7373699851411589895;0.7032967032967032967;0.6840926455827053588;0.21375515405543
AAPL;91;0.7448963730569948186;0.7722882615156017830;0.7659743589743589743;0.7494494299540068016;0.12546014697414
AAPL;92;0.7857142857142857142;0.7871173848439821693;0.7633699633699633699;0.7404605312439137664;0.33268455679898
AAPL;93;0.7749814951887490747;0.7618870728083209509;0.7794871794871794871;0.7644309278041618601;0.22610674045391
AAPL;94;0.7851591413767579570;0.7734026745913818722;0.7919413919413919413;0.7711726018367316364;0.08375152472718
AAPL;95;0.7690599555884529977;0.7719167904903417533;0.7904761904761904761;0.7812851128855863009;0.08636000207390
AAPL;96;0.7879348630643967431;0.7786032689450222882;0.7897435897435897435;0.7655545401429234894;0.09620162146379
AAPL;97;0.7905255366395262768;0.7808209509658246656;0.8035347985347985347;0.7849930336034996778;0.09387994291312
AAPL;98;0.8123612139156180606;0.7994056463595839524;0.8120879120879120879;0.7872777120256483243;0.08848220401190
AAPL;99;0.8230940044411547002;0.8135215453194650817;0.8333333333333333333;0.8101244962471347885;0.03503557014563
AAPL;100;0.8197631384159881569;0.8105497771173848439;0.8369963369963369963;0.8209860821884972059;0.03954221345361
AAPL;101;0.8230940044411547002;0.8172362555720653789;0.8391941391941391941;0.8172407077259584413;0.03209090239290
AAPL;102;0.8382679496669133974;0.8276374442793462109;0.8443223443223443223;0.8202370072959894530;0.03016694909935
AAPL;103;0.8412287194670614359;0.8339524517087667161;0.8564102564102564102;0.8358177650601507138;0.02836511042162
AAPL;104;0.8549222797927461139;0.8499257057949479940;0.8619047619047619047;0.8385893421624293996;0.04503464234743
AAPL;105;0.8508512213175425610;0.8424962852897473997;0.8717106227106227106;0.8520726902275689523;0.02416805154191
AAPL;106;0.8495558845299777942;0.8439821693907875185;0.8688644688644688644;0.8475782408725224347;0.02721122963278
AAPL;107;0.8404885270170244263;0.8410104011887072808;0.8615384615384615384;0.8472037034262685583;0.03215734911681
AAPL;108;0.8371576609918578830;0.8317236255572065378;0.8564102564102564102;0.8378402672699216467;0.02254645130833
AAPL;109;0.8260547742413027387;0.8250371471025260029;0.8468864468864468864;0.8337203553611290056;0.01479360583312
AAPL;110;0.8379977794226498889;0.8287518573551263001;0.8468864468864468864;0.8236078443122743411;0.02209619630026
AAPL;111;0.8390081421169504071;0.8302377414561664190;0.8549450549450549450;0.8355930425923983879;0.02242420025159
AAPL;112;0.8356772760917838638;0.8313521545319465081;0.8564102564102564102;0.8367166549311600173;0.01976824146766
AAPL;113;0.8390081421169504071;0.8324665676077265973;0.8549450549450549450;0.8333008734213246640;0.03083346295219
AAPL;114;0.8249407846039970392;0.8265230312035661218;0.8454212454212454212;0.8359675800386522644;0.03568011701172
AAPL;115;0.8256846780162842339;0.8131500742942050520;0.8400586080586080586;0.8217351570810049588;0.01512065469806
AAPL;116;0.8075499629903774981;0.8127786032689450222;0.8260073260073260073;0.8232333068660204647;0.03059046168875
AAPL;117;0.8179940784603997039;0.8057206537890044576;0.8249084249084249084;0.8041318971070727651;0.02343290791057
AAPL;118;0.8182827535159141376;0.8094316493313521545;0.8340659340659340659;0.8149934830484351825;0.01802466305916
AAPL;119;0.8348260547742413027;0.8220653789004457652;0.8388278388278388278;0.8158624099237441759;0.01223356501000
AAPL;120;0.8267949666913397483;0.8209509658246656760;0.8428571428571428571;0.8314843668069933631;0.03157597439276
